input_text,output_text
I'm struggling to understand Work-Energy Theorem. What is it?,The work-energy theorem states that the net work done on an object is equal to its change in kinetic energy: $W = \Delta K$.
What is the formula for Pythagorean theorem?,The Pythagorean theorem relates the sides of a right triangle. It is written as: $a^2 + b^2 = c^2$.
I'm struggling to understand Binomial theorem. What is it?,The binomial theorem states that $(x+y)^n = \sum_{k=0}^n \binom{n}{k} x^{n-k} y^k$.
Refresh my memory on cellular respiration equation.,The overall equation for cellular respiration is $C_6H_{12}O_6 + 6O_2 \rightarrow 6CO_2 + 6H_2O + \text{ATP}$.
What does Ohm's law mean in this context?,Ohm's law states that the current through a conductor between two points is directly proportional to the voltage across the two points: $V = IR$.
Tell me about area of a circle.,The area of a circle with radius $r$ is given by the formula: $A = \pi r^2$.
Tell me about Geometric progression sum.,The sum of the first $n$ terms of a geometric progression is $S_n = a\frac{1-r^n}{1-r}$ for $r \neq 1$.
I'm struggling to understand photosynthesis equation. What is it?,The overall equation for photosynthesis is $6CO_2 + 6H_2O \rightarrow C_6H_{12}O_6 + 6O_2$.
Tell me about time complexity of quicksort.,"The average-case time complexity of quicksort is $O(n \log n)$, but its worst-case is $O(n^2)$."
What is the formula for cellular respiration equation?,The overall equation for cellular respiration is $C_6H_{12}O_6 + 6O_2 \rightarrow 6CO_2 + 6H_2O + \text{ATP}$.
Please define derivative of x^2.,The derivative of $f(x) = x^2$ with respect to $x$ is $f'(x) = 2x$.
Refresh my memory on definition of a limit.,"The limit of $f(x)$ as $x$ approaches $c$ is $L$ if for every $\epsilon > 0$ there is a $\delta > 0$ such that if $0 < |x - c| < \delta$, then $|f(x) - L| < \epsilon$."
Refresh my memory on Einstein's mass-energy equivalence.,The mass-energy equivalence principle is expressed by the famous equation $E = mc^2$.
Refresh my memory on Euler's identity.,Euler's identity connects five fundamental mathematical constants: $e^{i\pi} + 1 = 0$.
I'm struggling to understand Ohm's law. What is it?,Ohm's law states that the current through a conductor between two points is directly proportional to the voltage across the two points: $V = IR$.
Do you know the equation for Ohm's law?,Ohm's law states that the current through a conductor between two points is directly proportional to the voltage across the two points: $V = IR$.
What is the formula for Momentum?,The linear momentum of an object is the product of its mass and velocity: $p = mv$.
Refresh my memory on Fibonacci sequence.,"The Fibonacci sequence is defined by the recurrence relation $F_n = F_{n-1} + F_{n-2}$, with $F_0 = 0$ and $F_1 = 1$."
What does kinetic energy mean in this context?,The kinetic energy of an object of mass $m$ and velocity $v$ is $K = \frac{1}{2}mv^2$.
Tell me about time complexity of binary search.,The worst-case time complexity of binary search is $O(\log n)$.
Tell me about Law of Sines.,The Law of Sines states that the ratio of the length of a side to the sine of its opposite angle is constant: $\frac{a}{\sin(A)} = \frac{b}{\sin(B)} = \frac{c}{\sin(C)}$.
Please define time complexity of binary search.,The worst-case time complexity of binary search is $O(\log n)$.
What does integral of 1/x mean in this context?,The indefinite integral of $1/x$ is $\ln|x| + C$.
Refresh my memory on integral of 1/x.,The indefinite integral of $1/x$ is $\ln|x| + C$.
What is the formula for definition of a limit?,"The limit of $f(x)$ as $x$ approaches $c$ is $L$ if for every $\epsilon > 0$ there is a $\delta > 0$ such that if $0 < |x - c| < \delta$, then $|f(x) - L| < \epsilon$."
Tell me about pH formula.,The pH of a solution is the negative base-10 logarithm of the hydrogen ion concentration: $\text{pH} = -\log_{10}[H^+]$.
Can you explain Coulomb's Law?,"Coulomb's Law quantifies the amount of force between two stationary, electrically charged particles: $F = k_e \frac{q_1 q_2}{r^2}$."
